iter	Passed	Remaining
231	2866	9489
232	2882	9488
233	2895	9477
234	2905	9459
235	2917	9444
236	2930	9434
237	2942	9419
238	2950	9396
239	2963	9385
240	2977	9377
241	2984	9347
242	2996	9333
243	3007	9319
244	3018	9300
245	3028	9281
246	3040	9267
247	3050	9251
248	3067	9251
249	3080	9241
250	3093	9229
251	3104	9215
252	3113	9193
253	3125	9179
254	3137	9166
255	3147	9146
256	3158	9132
257	3170	9117
258	3181	9102
259	3192	9085
260	3200	9062
261	3210	9041
262	3222	9030
263	3232	9011
264	3243	8995
265	3259	8993
266	3271	8981
267	3283	8968
268	3292	8948
269	3304	8933
270	3314	8916
271	3324	8898
272	3336	8886
273	3348	8871
274	3356	8848
275	3368	8836
276	3378	8818
277	3389	8803
278	3402	8791
279	3414	8779
280	3424	8761
281	3434	8745
282	3446	8731
283	3458	8718
284	3473	8713
285	3484	8698
286	3496	8685
287	3505	8667
288	3515	8649
289	3525	8632
290	3536	8615
291	3547	8601
292	3559	8588
293	3569	8571
294	3581	8558
295	3593	8546
296	3603	8528
297	3613	8513
298	3625	8499
299	3635	8483
300	3646	8467
301	3654	8445
302	3667	8436
303	3683	8433
304	3695	8420
305	3707	8408
306	3717	8391
307	3728	8376
308	3735	8352
309	3746	8338
310	3759	8328
311	3771	8315
312	3781	8300
313	3792	8285
314	3803	8271
315	3813	8254
316	3824	8239
317	3833	8222
318	3844	8208
319	3857	8196
320	3868	8183
321	3883	8176
322	3895	8164
323	3906	8149
324	3913	8128
325	3921	8108
326	3930	8088
327	3940	8073
328	3953	8063
329	3963	8046
330	3974	8032
331	3986	8020
332	3995	8003
333	4006	7988
334	4018	7977
335	4028	7960
336	4038	7944
337	4050	7933
338	4060	7917
339	4075	7911
340	4087	7898
341	4099	7887
342	4111	7874
343	4119	7855
344	4131	7843
345	4142	7830
346	4153	7815
347	4163	7799
348	4173	7784
349	4183	7769
350	4190	7747
351	4200	7733
352	4210	7716
353	4220	7701
354	4230	7686
355	4242	7673
356	4252	7658
357	4262	7644
358	4274	7633
359	4289	7626
360	4299	7610
361	4312	7600
362	4323	7587
363	4333	7570
364	4344	7558
365	4356	7546
366	4367	7533
367	4377	7518
368	4388	7503
369	4398	7488
370	4408	7474
371	4419	7460
372	4431	7449
373	4441	7434
374	4452	7420
375	4463	7407
376	4478	7401
377	4491	7391
378	4502	7378
379	4514	7365
380	4524	7351
381	4536	7339
382	4546	7324
383	4557	7310
384	4568	7298
385	4580	7285
386	4590	7271
387	4602	7259
388	4612	7244
389	4622	7230
390	4634	7218
391	4644	7203
392	4654	7188
393	4666	7177
394	4681	7169
395	4691	7155
396	4702	7141
397	4713	7129
398	4721	7111
399	4735	7103
400	4747	7092
401	4761	7082
402	4771	7067
403	4785	7059
404	4797	7047
405	4806	7032
406	4817	7018
407	4829	7006
408	4839	6992
409	4848	6977
410	4860	6965
411	4870	6951
412	4885	6944
413	4897	6931
414	4909	6921
415	4919	6905
416	4932	6895
417	4944	6884
418	4955	6870
419	4965	6856
420	4978	6846
421	4989	6833
422	4998	6818
423	5011	6807
424	5020	6792
425	5030	6778
426	5042	6767
427	5054	6755
428	5064	6740
429	5079	6733
430	5092	6723
431	5104	6711
432	5114	6697
433	5125	6684
434	5137	6672
435	5146	6657
436	5157	6644
437	5169	6632
438	5180	6619
439	5190	6605
440	5201	6593
441	5211	6579
442	5222	6566
443	5234	6554
444	5244	6541
445	5257	6530
446	5267	6517
447	5280	6506
448	5297	6501
449	5305	6485
450	5319	6475
451	5330	6462
452	5340	6448
453	5351	6436
454	5363	6424
455	5372	6409
456	5383	6397
457	5393	6382
458	5403	6369
459	5416	6358
460	5428	6346
461	5437	6331
462	5447	6318
463	5458	6305
464	5468	6292
465	5481	6281
466	5492	6269
467	5507	6260
468	5515	6244
469	5526	6232
470	5536	6217
471	5546	6204
472	5555	6189
473	5566	6176
474	5575	6162
475	5585	6149
476	5596	6136
477	5603	6119
478	5614	6107
479	5624	6093
480	5634	6079
481	5644	6065
482	5655	6053
483	5665	6039
484	5674	6026
485	5689	6017
486	5705	6010
487	5717	5998
488	5728	5985
489	5738	5972
490	5748	5959
491	5761	5948
492	5773	5937
493	5785	5925
494	5794	5912
495	5806	5900
496	5814	5884
497	5825	5872
498	5837	5860
499	5847	5847
500	5858	5834
501	5870	5823
502	5881	5810
503	5890	5797
504	5906	5789
505	5919	5779
506	5931	5768
507	5944	5757
508	5954	5744
509	5963	5730
510	5973	5716
511	5984	5704
512	5996	5692
513	6002	5675
514	6015	5664
515	6026	5652
516	6036	5639
517	6048	5627
518	6061	5617
519	6071	5604
520	6082	5591
521	6096	5582
522	6111	5574
523	6122	5561
524	6136	5552
525	6146	5538
526	6157	5526
527	6166	5512
528	6177	5500
529	6189	5488
530	6199	5475
531	6210	5463
532	6222	5452
533	6233	5439
534	6243	5426
535	6255	5414
536	6265	5401
537	6275	5389
538	6287	5377
539	6298	5365
540	6314	5357
541	6327	5346
542	6340	5336
543	6352	5324
544	6361	5311
545	6372	5298
546	6383	5286
547	6393	5273
548	6404	5261
549	6417	5250
550	6429	5239
551	6439	5226
552	6452	5215
553	6462	5202
554	6473	5190
555	6485	5179
556	6498	5168
557	6513	5159
558	6525	5148
559	6537	5136
560	6548	5124
561	6558	5111
562	6570	5099
563	6581	5087
564	6591	5075
565	6602	5062
566	6611	5049
567	6621	5036
568	6631	5023
569	6640	5009
570	6651	4997
571	6663	4986
572	6677	4975
573	6685	4961
574	6697	4950
575	6710	4939
576	6726	4931
577	6737	4918
578	6747	4906
579	6759	4894
580	6769	4881
581	6780	4869
582	6792	4858
583	6801	4845
584	6812	4833
585	6824	4821
586	6834	4808
587	6847	4798
588	6859	4786
589	6871	4774
590	6882	4762
591	6892	4750
592	6905	4739
593	6921	4730
594	6932	4718
595	6943	4706
596	6955	4695
597	6966	4683
598	6977	4671
599	6988	4659
600	7000	4647
601	7010	4634
602	7021	4622
603	7033	4611
604	7048	4602
605	7060	4590
606	7071	4578
607	7082	4566
608	7093	4554
609	7107	4544
610	7119	4532
611	7131	4521
612	7141	4508
613	7151	4495
614	7162	4483
615	7172	4470
616	7183	4458
617	7193	4446
618	7203	4433
619	7214	4421
620	7224	4409
621	7234	4396
622	7247	4385
623	7259	4374
624	7270	4362
625	7279	4349
626	7290	4337
627	7306	4328
628	7317	4316
629	7328	4303
630	7334	4289
631	7344	4276
632	7355	4264
633	7365	4251
634	7377	4240
635	7388	4228
636	7401	4218
637	7411	4205
638	7423	4194
639	7434	4181
640	7444	4169
641	7456	4158
642	7468	4146
643	7481	4135
644	7493	4124
645	7508	4114
646	7521	4103
647	7534	4092
648	7545	4080
649	7557	4069
650	7569	4057
651	7580	4046
652	7591	4033
653	7603	4022
654	7615	4011
655	7625	3998
656	7637	3987
657	7651	3976
658	7664	3965
659	7673	3953
660	7685	3941
661	7697	3929
662	7713	3920
663	7724	3908
664	7735	3896
665	7747	3885
666	7757	3872
667	7767	3860
668	7779	3849
669	7790	3836
670	7801	3824
671	7813	3813
672	7825	3802
673	7835	3790
674	7846	3778
675	7859	3766
676	7869	3754
677	7879	3742
678	7892	3731
679	7903	3719
680	7918	3709
681	7930	3697
682	7941	3685
683	7953	3674
684	7963	3662
685	7974	3650
686	7984	3637
687	7994	3625
688	8005	3613
689	8017	3601
690	8028	3590
691	8039	3578
692	8050	3566
693	8061	3554
694	8071	3542
695	8083	3530
696	8098	3520
697	8113	3510
698	8125	3498
699	8134	3486
700	8145	3474
701	8157	3462
702	8167	3450
703	8177	3438
704	8188	3426
705	8198	3414
706	8208	3401
707	8220	3390
708	8230	3378
709	8241	3366
710	8252	3354
711	8263	3342
712	8272	3330
713	8283	3317
714	8295	3306
715	8311	3296
716	8322	3285
717	8333	3273
718	8343	3260
719	8354	3248
720	8363	3236
721	8373	3224
722	8386	3213
723	8397	3201
724	8407	3189
725	8418	3177
726	8429	3165
727	8439	3153
728	8450	3141
729	8461	3129
730	8471	3117
731	8483	3106
732	8496	3095
733	8512	3084
734	8522	3072
735	8533	3060
736	8545	3049
737	8555	3037
738	8572	3027
739	8582	3015
740	8594	3003
741	8604	2991
742	8615	2979
743	8626	2968
744	8636	2955
745	8646	2943
746	8658	2932
747	8668	2920
748	8679	2908
749	8690	2896
750	8700	2884
751	8715	2874
752	8726	2862
753	8738	2851
754	8748	2838
755	8759	2827
756	8769	2815
757	8779	2802
758	8790	2791
759	8801	2779
760	8811	2767
761	8823	2755
762	8836	2744
763	8847	2733
764	8859	2721
765	8870	2709
766	8880	2697
767	8892	2686
768	8903	2674
769	8915	2663
770	8931	2652
771	8941	2640
772	8951	2628
773	8963	2617
774	8973	2605
775	8983	2593
776	8995	2581
777	9006	2569
778	9016	2557
779	9028	2546
780	9040	2535
781	9050	2523
782	9062	2511
783	9072	2499
784	9082	2487
785	9095	2476
786	9106	2464
787	9122	2454
788	9132	2442
789	9144	2430
790	9156	2419
791	9165	2407
792	9178	2395
793	9189	2384
794	9199	2372
795	9210	2360
796	9221	2348
797	9234	2337
798	9245	2325
799	9257	2314
800	9268	2302
801	9278	2290
802	9288	2278
803	9301	2267
804	9311	2255
805	9327	2244
806	9339	2233
807	9351	2222
808	9361	2210
809	9370	2198
810	9382	2186
811	9393	2174
812	9405	2163
813	9418	2152
814	9429	2140
815	9439	2128
816	9450	2116
817	9463	2105
818	9476	2094
819	9489	2082
820	9502	2071
821	9516	2060
822	9530	2049
823	9541	2037
824	9548	2025
825	9559	2013
826	9569	2001
827	9581	1990
828	9593	1978
829	9606	1967
830	9616	1955
831	9628	1944
832	9639	1932
833	9650	1920
834	9660	1908
835	9672	1897
836	9681	1885
837	9693	1873
838	9705	1862
839	9725	1852
840	9744	1842
841	9764	1832
842	9783	1822
843	9801	1811
844	9820	1801
845	9838	1790
846	9851	1779
847	9864	1768
848	9876	1756
849	9886	1744
850	9897	1732
851	9908	1721
852	9924	1710
853	9936	1698
854	9948	1687
855	9961	1675
856	9972	1664
857	9983	1652
858	9997	1640
859	10008	1629
860	10017	1617
861	10029	1605
862	10041	1594
863	10051	1582
864	10062	1570
865	10073	1558
866	10083	1546
867	10094	1535
868	10106	1523
869	10122	1512
870	10136	1501
871	10147	1489
872	10158	1477
873	10170	1466
874	10179	1454
875	10190	1442
876	10201	1430
877	10211	1418
878	10221	1407
879	10231	1395
880	10240	1383
881	10250	1371
882	10261	1359
883	10271	1347
884	10280	1335
885	10291	1324
886	10308	1313
887	10322	1301
888	10336	1290
889	10349	1279
890	10359	1267
891	10370	1255
892	10382	1244
893	10392	1232
894	10403	1220
895	10414	1208
896	10424	1197
897	10437	1185
898	10451	1174
899	10464	1162
900	10475	1150
901	10487	1139
902	10502	1128
903	10515	1116
904	10528	1105
905	10537	1093
906	10550	1081
907	10561	1070
908	10573	1058
909	10584	1046
910	10594	1035
911	10605	1023
912	10615	1011
913	10626	999
914	10637	988
915	10647	976
916	10658	964
917	10668	952
918	10679	941
919	10695	930
920	10708	918
921	10721	907
922	10731	895
923	10744	883
924	10755	872
925	10766	860
926	10777	848
927	10787	836
928	10797	825
929	10807	813
930	10820	801
931	10833	790
932	10846	778
933	10856	767
934	10867	755
935	10876	743
936	10887	732
937	10902	720
938	10917	709
939	10929	697
940	10939	685
941	10951	674
942	10964	662
943	10974	651
944	10985	639
945	10995	627
946	11005	615
947	11019	604
948	11030	592
949	11041	581
950	11050	569
951	11060	557
952	11073	546
953	11082	534
954	11092	522
955	11105	511
956	11123	499
957	11136	488
958	11147	476
959	11156	464
960	11166	453
961	11178	441
962	11190	429
963	11204	418
964	11218	406
965	11230	395
966	11240	383
967	11251	371
968	11256	360
969	11269	348
970	11282	336
971	11291	325
972	11304	313
973	11318	302
974	11336	290
975	11350	279
976	11363	267
977	11373	255
978	11383	244
979	11394	232
980	11406	220
981	11416	209
982	11431	197
983	11445	186
984	11457	174
985	11468	162
986	11480	151
987	11493	139
988	11506	127
989	11524	116
990	11535	104
991	11547	93
992	11559	81
993	11570	69
994	11582	58
995	11593	46
996	11604	34
997	11617	23
998	11626	11
999	11638	0
