iter	Logloss
0	0.6838776895
1	0.6734775603
2	0.6624577689
3	0.6505573517
4	0.6432644483
5	0.6332277975
6	0.6228413291
7	0.6117037053
8	0.6029584801
9	0.5931771239
10	0.5852192883
11	0.5766936574
12	0.5680979389
13	0.5600906232
14	0.5534566171
15	0.5437145633
16	0.5383379215
17	0.5308775719
18	0.5215253699
19	0.5140172322
20	0.5091664216
21	0.5054728592
22	0.4987313761
23	0.4931739761
24	0.4861582479
25	0.4819903956
26	0.4758614502
27	0.4707944114
28	0.4675444512
29	0.4644031786
30	0.4602143899
31	0.4560699187
32	0.4523748011
33	0.44801401
34	0.4471289873
35	0.4454046673
36	0.4411665018
37	0.4372838113
38	0.4352355432
39	0.430705647
40	0.4283872152
41	0.4255869641
42	0.4213400199
43	0.4183826466
44	0.4145006465
45	0.4102563551
46	0.4081882142
47	0.406344409
48	0.4050395724
49	0.4027277306
50	0.3999758393
51	0.3976511977
52	0.3943915196
53	0.3902628132
54	0.3872440503
55	0.384980547
56	0.3818416977
57	0.3797151674
58	0.3772190414
59	0.3743496413
60	0.3722130576
61	0.3697196603
62	0.3677893311
63	0.3662352064
64	0.3649315097
65	0.363256154
66	0.3603874726
67	0.3587514021
68	0.3564262908
69	0.3552173056
70	0.353248964
71	0.350726258
72	0.3492931937
73	0.3472638503
74	0.3451695197
75	0.3438198479
76	0.3414835809
77	0.3403254625
78	0.3395304826
79	0.3379294289
80	0.3366149081
81	0.3360293959
82	0.3354071731
83	0.3337853376
84	0.3328172034
85	0.3314525165
86	0.3297882495
87	0.3291314419
88	0.3277616677
89	0.3272957051
90	0.326089236
91	0.3248771577
92	0.3238310943
93	0.3232891628
94	0.322447778
95	0.3213843189
96	0.3209010219
97	0.3197153714
98	0.3182000871
99	0.3170625741
100	0.3165208594
101	0.3156502721
102	0.3132779625
103	0.3111660554
104	0.3107669248
105	0.3094714637
106	0.3081826449
107	0.3074033463
108	0.3068805099
109	0.3048766898
110	0.3043247055
111	0.303295398
112	0.3015748239
113	0.3012774498
114	0.3000677241
115	0.2990704195
116	0.2978344238
117	0.2971633168
118	0.2964157057
119	0.2959094846
120	0.2955393912
121	0.2944830022
122	0.293232518
123	0.2928295373
124	0.2923016775
125	0.2917065611
126	0.2910812955
127	0.2906232781
128	0.2898688243
129	0.2893468619
130	0.2884394631
131	0.28755067
132	0.2872218412
133	0.2861736249
134	0.2858201945
135	0.2853017409
136	0.2848440237
137	0.2846997794
138	0.2845750189
139	0.2832841508
140	0.281950604
141	0.2812732968
142	0.2809287883
143	0.2806746639
144	0.2802781917
145	0.2793539205
146	0.278696096
147	0.2777385226
148	0.2770805097
149	0.2765685078
150	0.2761143401
151	0.2758093018
152	0.2751942099
153	0.2740875157
154	0.2736862048
155	0.2734805874
156	0.2722852925
157	0.2718843331
158	0.271013416
159	0.2706482144
160	0.2698427038
161	0.2693947166
162	0.268614299
163	0.26818615
164	0.2677586041
165	0.2671281459
166	0.2664864758
167	0.2652151306
168	0.2648278412
169	0.2642292882
170	0.2636442159
171	0.2629768809
172	0.2623709928
173	0.2619808259
174	0.2616206616
175	0.2613628598
176	0.2606593727
177	0.2600837927
178	0.2599381774
179	0.2595335602
180	0.2589612941
181	0.2586075203
182	0.2582516261
183	0.2579159305
184	0.2576661412
185	0.2567156086
186	0.2563199383
187	0.2559493511
188	0.2550267117
189	0.2546322262
190	0.2541748179
191	0.2538237484
192	0.2529562209
193	0.2524232898
194	0.252213353
195	0.2520036718
196	0.25137004
197	0.2509200623
198	0.2507319876
199	0.250491283
200	0.2502282306
201	0.2499422626
202	0.2495720228
203	0.2486084236
204	0.2482663305
205	0.2477595856
206	0.2470417966
207	0.2468359778
208	0.2465577219
209	0.246337193
210	0.2462046826
211	0.2460536674
212	0.2456633286
213	0.2453246045
214	0.2449618792
215	0.2444277982
216	0.2442476658
217	0.2441476135
218	0.243792681
219	0.2434949688
220	0.2431103174
221	0.2427690267
222	0.2421604253
223	0.2420307416
224	0.2415860557
225	0.2413386754
226	0.2408733186
227	0.2405776879
228	0.2404072129
229	0.2402992476
230	0.2400948141
231	0.2398636835
232	0.2396453613
233	0.2394853098
234	0.2391480907
235	0.2388143593
236	0.2386774901
237	0.2384076716
238	0.2382854984
239	0.2375573345
240	0.2371098728
241	0.2363493544
242	0.2361445816
243	0.2356575238
244	0.2351537656
245	0.2350409255
246	0.2347712496
247	0.2343797031
248	0.2339786278
249	0.2330722395
250	0.2329022923
251	0.2327223163
252	0.2320181604
253	0.2315315086
254	0.2313596866
255	0.2312123622
256	0.2311131014
257	0.2309134313
258	0.2301302113
259	0.2299342677
260	0.229440987
261	0.2289084288
262	0.2285558499
263	0.2283284076
264	0.2281893228
265	0.2273312656
266	0.2270225328
267	0.2266938023
268	0.2264624089
269	0.226067278
270	0.22522861
271	0.2249593573
272	0.2245843839
273	0.2242184266
274	0.2241633116
275	0.2239716716
276	0.2239396102
277	0.223840384
278	0.2234984823
279	0.2232841552
280	0.2229009427
281	0.2228897902
282	0.2227077525
283	0.2226107809
284	0.2225394968
285	0.2221314922
286	0.2216490883
287	0.2212076169
288	0.2211795894
289	0.2211262263
290	0.2203956835
291	0.219994622
292	0.219824602
293	0.219591218
294	0.2190038677
295	0.2188053059
296	0.2184568746
297	0.2183043449
298	0.2180329071
299	0.2179718324
300	0.217370076
301	0.2172401983
302	0.2170411768
303	0.2166974105
304	0.2166807847
305	0.2162501319
306	0.215355651
307	0.2146081502
308	0.2144941319
309	0.2143258155
310	0.2140783955
311	0.2138496241
312	0.2136352775
313	0.2133881288
314	0.2133255732
315	0.2124083491
316	0.2119302322
317	0.2118500634
318	0.2114151265
319	0.211161289
320	0.2107459847
321	0.2106466216
322	0.2105198144
323	0.2104521792
324	0.2102603643
325	0.2097372242
326	0.2096035617
327	0.2093554186
328	0.2092517407
329	0.2089765949
330	0.2088068224
331	0.2085748961
332	0.2084335935
333	0.2082697895
334	0.2081500366
335	0.2080158389
336	0.2074285901
337	0.2073320644
338	0.2070447462
339	0.2069412051
340	0.206736633
341	0.2067235292
342	0.2063975066
343	0.2061465963
344	0.2057803398
345	0.2055995663
346	0.2054887434
347	0.2052990573
348	0.2052201847
349	0.2051524273
350	0.2049945458
351	0.2048212773
352	0.2047203552
353	0.2047132795
354	0.2044749578
355	0.2044295294
356	0.2043189599
357	0.2039815345
358	0.2036204265
359	0.2035683636
360	0.2033664505
361	0.2030703397
362	0.2029404462
363	0.2027548674
364	0.2026732364
365	0.2026036974
366	0.2020589852
367	0.2016388134
368	0.2015709605
369	0.201424951
370	0.2013553597
371	0.2011659846
372	0.2006506266
373	0.2004217773
374	0.1999569122
375	0.1997749219
376	0.1995605444
377	0.1994003495
378	0.1989851215
379	0.1988158594
380	0.1986055935
381	0.1984872223
382	0.198255114
383	0.197636934
384	0.1974459533
385	0.1971582805
386	0.1970780725
387	0.1969292136
388	0.1967295204
389	0.196479187
390	0.1964000479
391	0.1962746761
392	0.1957610024
393	0.1956475982
394	0.1953082801
395	0.1951529214
396	0.1948385886
397	0.1948267034
398	0.194756025
399	0.1936764236
400	0.1936428665
401	0.1934304835
402	0.1932334254
403	0.1930194615
404	0.1930056969
405	0.1929652452
406	0.1928958396
407	0.1924536754
408	0.1921825031
409	0.1920334823
410	0.1918788532
411	0.1915760736
412	0.1914766304
413	0.1912530186
414	0.1912332897
415	0.1909498282
416	0.1907711755
417	0.1905504544
418	0.1902552568
419	0.1901515275
420	0.1894047136
421	0.1890235219
422	0.1890059789
423	0.188766587
424	0.1886994518
425	0.1885255489
426	0.1880314294
427	0.1879224823
428	0.1875882325
429	0.1875022964
430	0.1871547606
431	0.1869771498
432	0.1865964968
433	0.1865115474
434	0.1861551588
435	0.1857747867
436	0.1854127928
437	0.1853528763
438	0.1847766941
439	0.1843680712
440	0.1843653414
441	0.1841442357
442	0.1841173792
443	0.1840320044
444	0.1836695664
445	0.1834475725
446	0.1830517027
447	0.1828401514
448	0.1827440571
449	0.1825659403
450	0.1824352326
451	0.1821089407
452	0.1819541406
453	0.181645258
454	0.1815794043
455	0.1814104431
456	0.1812343415
457	0.1810657497
458	0.1809890474
459	0.1807033034
460	0.1805366389
461	0.1801433549
462	0.1800599945
463	0.1799856178
464	0.1799221626
465	0.1798113533
466	0.1796492761
467	0.1794253317
468	0.1792141593
469	0.1790525476
470	0.1787607917
471	0.1786818052
472	0.1785548746
473	0.1783821653
474	0.178132598
475	0.1780698854
476	0.1777850357
477	0.1775016388
478	0.1773416297
479	0.1770338699
480	0.176592285
481	0.1764466363
482	0.1762094709
483	0.1760256455
484	0.1757798524
485	0.1757569737
486	0.1756419803
487	0.1751516127
488	0.1749002143
489	0.1747558117
490	0.1745797003
491	0.1742669268
492	0.1740991451
493	0.1740861469
494	0.1740724674
495	0.1731761177
496	0.1730067231
497	0.1728474977
498	0.1725829921
499	0.1723831795
500	0.172058464
501	0.1719902171
502	0.1717107831
503	0.1714947767
504	0.1712345359
505	0.1712060851
506	0.1709331283
507	0.1705575381
508	0.1703630443
509	0.1703597656
510	0.1702251481
511	0.1698556708
512	0.169260655
513	0.1690596287
514	0.1689273732
515	0.1688020054
516	0.1687283716
517	0.1684100967
518	0.1681905166
519	0.1680183673
520	0.1679450668
521	0.1677324369
522	0.1675154156
523	0.1674173846
524	0.1671190183
525	0.1670132408
526	0.1667550659
527	0.1666390449
528	0.1665810659
529	0.1665250319
530	0.1663785311
531	0.1662782376
532	0.1659234611
533	0.1658934512
534	0.165780314
535	0.1655990863
536	0.1653909768
537	0.1653758287
538	0.1650974996
539	0.1650609827
540	0.1650154677
541	0.1649763783
542	0.1645495793
543	0.1644219083
544	0.1640530265
545	0.1638145739
546	0.1637891487
547	0.1637031301
548	0.1636294848
549	0.163416302
550	0.1633625899
551	0.1629771949
552	0.1626641188
553	0.1626211171
554	0.1624152057
555	0.1623421065
556	0.1622285614
557	0.1619375574
558	0.1618278279
559	0.1615793249
560	0.1613831461
561	0.1612600377
562	0.1612172841
563	0.161101046
564	0.1605196505
565	0.1600046667
566	0.1598491518
567	0.1594831762
568	0.1592201001
569	0.1590221257
570	0.1589660635
571	0.1587525918
572	0.158566342
573	0.1585102621
574	0.1583362666
575	0.158162972
576	0.1579374913
577	0.1576944326
578	0.1575288323
579	0.1573645301
580	0.1572816858
581	0.1571062096
582	0.1569731332
583	0.1567631598
584	0.1566538568
585	0.1566534438
586	0.1565937049
587	0.1563765791
588	0.1563120876
589	0.1562226704
590	0.1559740589
591	0.1557770402
592	0.1556261934
593	0.1555574547
594	0.1553171403
595	0.154846053
596	0.1548379616
597	0.1547835296
598	0.1547063927
599	0.1545397242
600	0.1543764537
601	0.1541472433
602	0.1539352841
603	0.1538296137
604	0.1537015746
605	0.1536870513
606	0.1536241821
607	0.1533981535
608	0.1532290957
609	0.1532019929
610	0.1531160325
611	0.1529106802
612	0.1528641119
613	0.1527078939
614	0.1526845584
615	0.1525398706
616	0.1524332254
617	0.1523019996
618	0.1522830761
619	0.1522041274
620	0.1521634993
621	0.1520816758
622	0.1520795559
623	0.1517757359
624	0.1517749684
625	0.1517223467
626	0.1512781779
627	0.1511929641
628	0.1510364291
629	0.1510004634
630	0.1509493768
631	0.1508709121
632	0.1507219889
633	0.1506062047
634	0.1504570945
635	0.1502460988
636	0.1502060817
637	0.1501197971
638	0.1499275619
639	0.149879475
640	0.1496895976
641	0.1495922289
642	0.1494894636
643	0.1494544574
644	0.1493206797
645	0.1490930022
646	0.1490370098
647	0.1490017864
648	0.1489204202
649	0.1488090959
650	0.1486862675
651	0.1478996736
652	0.1477817088
653	0.1475528693
654	0.1475395853
655	0.1473640752
656	0.1472181292
657	0.1470048916
658	0.1467524554
659	0.1465342014
660	0.1460123777
661	0.145903769
662	0.1457123558
663	0.1456615919
664	0.1455680642
665	0.1453738195
666	0.1451242956
667	0.144985472
668	0.1448032382
669	0.1446481072
670	0.1445791788
671	0.1444557557
672	0.1443418909
673	0.1443165626
674	0.1443007031
675	0.1442514349
676	0.1440120869
677	0.143830684
678	0.1434853532
679	0.1433213784
680	0.1433045739
681	0.143280512
682	0.143279399
683	0.1430137047
684	0.1428102421
685	0.1427623929
686	0.1424777214
687	0.1421071877
688	0.1420141636
689	0.1417422947
690	0.1415448785
691	0.1414395603
692	0.1412468623
693	0.1410919857
694	0.1410567151
695	0.1409816427
696	0.140981211
697	0.1409449413
698	0.1409309698
699	0.1408575321
700	0.1406383118
701	0.140627198
702	0.1404680401
703	0.1403214786
704	0.1401696607
705	0.1401065663
706	0.1399776341
707	0.1397075354
708	0.139587471
709	0.1395544201
710	0.1394610377
711	0.1392891445
712	0.1391723703
713	0.1389954375
714	0.1389187308
715	0.138788623
716	0.1386940809
717	0.1384086758
718	0.1382575336
719	0.1381168392
720	0.1381064051
721	0.1379651581
722	0.1379317108
723	0.1377518103
724	0.1377445555
725	0.1376783714
726	0.1375837405
727	0.1375380565
728	0.1375374186
729	0.1374630302
730	0.1374223591
731	0.1373227511
732	0.1373084411
733	0.1372360679
734	0.1371203669
735	0.1367945827
736	0.1367324245
737	0.1364533347
738	0.1363413444
739	0.1360423306
740	0.1359062944
741	0.1358473478
742	0.1357750389
743	0.1356598326
744	0.1355903577
745	0.1353980723
746	0.1352806049
747	0.1351149339
748	0.1349336443
749	0.1349239446
750	0.13473951
751	0.1346029801
752	0.1342433734
753	0.134225652
754	0.1342119387
755	0.1341478094
756	0.1338219302
757	0.1336582182
758	0.1335515467
759	0.1332881813
760	0.1331676689
761	0.1329007275
762	0.1327039187
763	0.1325127231
764	0.1323719014
765	0.1321757109
766	0.1321177378
767	0.1320503324
768	0.1319182579
769	0.1318266492
770	0.1316431888
771	0.1315457289
772	0.1315039323
773	0.1314769975
774	0.1314442417
775	0.1312557669
776	0.1311139166
777	0.1309237866
778	0.1306711107
779	0.1305721578
780	0.1305069129
781	0.1303577763
782	0.1301096046
783	0.1298541335
784	0.129734821
785	0.1296711059
786	0.1296556249
787	0.1295099249
788	0.129403291
789	0.1291488417
790	0.1291351228
791	0.1291336048
792	0.1290820729
793	0.1289656915
794	0.1287674804
795	0.1286666483
796	0.1285265
797	0.1285229781
798	0.1283701191
799	0.1281135651
800	0.1280313664
801	0.1279011102
802	0.1278729882
803	0.1278629722
804	0.1278078612
805	0.1277933992
806	0.1277929237
807	0.1275783185
808	0.1275197104
809	0.1273999563
810	0.1273447647
811	0.1272438257
812	0.1271666053
813	0.1270111219
814	0.1269695473
815	0.1268439206
816	0.1267925692
817	0.1265439651
818	0.1265118193
819	0.12642932
820	0.1263694973
821	0.1262284424
822	0.126185124
823	0.1261027991
824	0.1260943549
825	0.1260408031
826	0.1259597154
827	0.1258324577
828	0.1256323256
829	0.1255747954
830	0.1255379241
831	0.1254586428
832	0.1253844107
833	0.1253213216
834	0.1252301499
835	0.1251854203
836	0.125117757
837	0.1250125503
838	0.1249366987
839	0.1246330826
840	0.1244860501
841	0.1243206173
842	0.1242015723
843	0.1241390052
844	0.1240493842
845	0.123955121
846	0.1238929548
847	0.123620857
848	0.123438097
849	0.1233531762
850	0.1233361882
851	0.1232513721
852	0.1232512323
853	0.1231333814
854	0.1230799402
855	0.1230793829
856	0.1229217573
857	0.1228046027
858	0.1226658336
859	0.1225958467
860	0.1224352683
861	0.122333593
862	0.122230612
863	0.1221035187
864	0.1220124118
865	0.1218071766
866	0.1217112867
867	0.1216182283
868	0.1215773315
869	0.1215354057
870	0.1213910832
871	0.1213031435
872	0.1212556972
873	0.1212338466
874	0.1210684934
875	0.1210394452
876	0.1209604849
877	0.1209443154
878	0.1207666888
879	0.1207356824
880	0.1205929808
881	0.1204921343
882	0.1204692572
883	0.1203173656
884	0.1202123706
885	0.1201596354
886	0.1198217261
887	0.1197904653
888	0.1197123393
889	0.1195909165
890	0.1193825172
891	0.1191037233
892	0.1190764313
893	0.1190498372
894	0.1189891897
895	0.1189235004
896	0.1188686214
897	0.1188682827
898	0.1188191427
899	0.1187216465
900	0.1186278772
901	0.1184757551
902	0.1181150519
903	0.1180196118
904	0.1178695133
905	0.1177121966
906	0.1176152114
907	0.1176022993
908	0.1175549004
909	0.117533253
910	0.1175315832
911	0.1174809879
912	0.1174575378
913	0.117307239
914	0.1171296142
915	0.1171293504
916	0.1170936
917	0.1170005457
918	0.1168793201
919	0.1168531746
920	0.1168167258
921	0.1166823773
922	0.1166704288
923	0.1166324708
924	0.1165740074
925	0.1161998332
926	0.1161958839
927	0.1160048886
928	0.1159701318
929	0.1159308894
930	0.1158561302
931	0.1153693454
932	0.1153167174
933	0.1150149239
934	0.1149602587
935	0.1148931233
936	0.1148161327
937	0.1147242594
938	0.1146587965
939	0.1146292276
940	0.1146086967
941	0.1145612635
942	0.114547891
943	0.1145397112
944	0.1144590125
945	0.114390453
946	0.1143168254
947	0.1141446632
948	0.113806437
949	0.1137364791
950	0.1136035408
951	0.1135930993
952	0.1134767679
953	0.1132954119
954	0.1132501984
955	0.113099704
956	0.1129947397
957	0.1129924545
958	0.1129267267
959	0.1127082303
960	0.1126388191
961	0.1125243807
962	0.112416555
963	0.1123473493
964	0.1123436025
965	0.1123237902
966	0.1123017354
967	0.1121604911
968	0.1120819093
969	0.1119574792
970	0.1118607941
971	0.1118374986
972	0.1118094653
973	0.1117886589
974	0.1117173473
975	0.1116583009
976	0.1115735676
977	0.1115602169
978	0.1115302304
979	0.1113357973
980	0.1111857359
981	0.1110499348
982	0.1109968479
983	0.1108392481
984	0.1107126046
985	0.1106780883
986	0.1106695187
987	0.1105925963
988	0.1105365039
989	0.1105362301
990	0.1105176216
991	0.1105057225
992	0.1103681452
993	0.1103269491
994	0.1103044469
995	0.1102994774
996	0.1101876684
997	0.1101437397
998	0.1100944599
999	0.110042905
